id_firma,firma,persoana,candidati_mx
497,SCDA INFRASTRUCTURA SRL,Stefan Alin Niculae,scdainfrastructura.ro
503,SECOM HEALTHCARE SRL,Costea Lucia,secom-healthcare.com
504,SENTIENT SRL,Victor Croitoru,sentient.ro;sentient.com
511,SIEMENS SRL,Iulia-Daniela Postolea,siemens.com;siemens.eu
513,SII ROMANIA,Eric Matteucci,siiromania.ro
519,SKYLUX CONSTRUCTION SRL,Banica Gabriel,skyluxconstruction.com
522,SMART POINT,Patrasescu Catalin,smartpoint.ro;smartpoint.com
523,SMART SA,Dir. Mihai Liviu Negoescu,smart.com;smart.net
525,SMARTREE ROMANIA SRL,Dan Alexandru Nicolaescu,smartree-romania.com
531,SOFTELLIGENCE SRL,Adrian Blidarus,softelligence.ro;softelligence.net
534,SOMACO HOLDING SA,Ioan Razvan Buiga,somacoholding.ro
544,STRABAG SRL,Marius Adrian Ungureanu,strabag.com;strabag.eu
547,STUDIO 10M ZERVA CROITORU MEDVEDOVICI ARHITECTI ASOCIATI SRL,Adrian-Emilian Zerva,studio.ro;studio.com
550,SVN ROMANIA COMMERCIAL REAL ESTATE,Ionut Nicolescu,svnromania.ro
554,SYSCOM,Valentin Andronache,syscom.ro;syscom.com
561,TECHNOELECTRIC SRL,Geanina Simileanu,technoelectric.ro;technoelectric.com
562,TECHTEX SRL,Bogdan Mircea Man,techtex.ro;techtex.com
563,TECHVENTURES BANK,Cristian Nae,techventuresbank.com
566,TEHNO ELECTRO MEDICAL COMPANY SRL,Bogdan Cristian Manea,tehno.com;tehno.eu
568,TELETRANS SA,Dragos Roibu,teletrans.ro;teletrans.com
571,TEMPO ADVERTISING,Grigoriu Corina,tempoadvertising.com
577,THINKDIGITAL INTERNET & ADVERTISING,Dragos Stanca,thinkdigital.ro;thinkdigital.com
579,TINMAR ENERGY SA,George Alexandru Oancea,tinmar-energy.ro
581,TIRIAC HOLDINGS,Petru Vaduva,tiriacholdings.ro;tiriacholdings.com
587,TOYOTA MATERIAL HANDLING ROMANIA,Gabriel Carsofschi,toyota.ro;toyota.com
589,TRADEVILLE,Mihaela Ioana Biciu,tradeville.ro;tradeville.com
591,TRANSELECTRICA SA,Catalin Nitu,transelectrica.ro;transelectrica.com
594,TRIDENT PHARMA SRL,Gabriel Grigore,trident-pharma.ro;trident-pharma.com
596,TRUSTUL DE CLADIRI METROPOLITANE,Cristian Hiver,trustul.com
598,UIPATH SRL,Roxana Ivan,uipath.com
600,UNICREDIT BANK,Philipp Gamauf,unicreditbank.ro;unicreditbank.eu
601,UNIFARM SA,Adrian Bogdan Ghenciu,unifarm.ro;unifarm.eu
603,UNITED MARKETING PARTNER,Dan Cirstea,unitedmarketingpartner.com
604,UNITED MEDIA SERVICES,Dana Bulat,unitedmediaservices.com
605,UNITY GROUP,Ciprian Dron,unitygroup.ro;unitygroup.com
606,UNIVERSAL SOLUTION SRL,Elvira Munteanu,universalsolution.ro;universalsolution.com
607,UNIVERSAL TRANSPORT SPEDITION,Nicolae Laurentiu Adrian,universal.ro;universal.eu
610,UPSWING,Radu Marcusu,upswing.ro;upswing.com
612,UZINSIDER GENERAL CONTRACTOR,Costica Mustata,uzinsider.ro
633,VISTRA PROFESSIONAL SERVICES SRL,Alwyn Jacobus De Lange,vistra.com;vistra.eu
635,VITALIS CONSULTING,Laurentiu Popa,vitalisconsulting.com
636,VODAFONE ROMANIA SA,Radulescu Mihnea,vodafone-romania.com
637,VOGUE SRL,Eugen Constantin Chelu,vogue.ro;vogue.com
648,WIENERBERGER SRL,Albert Sutru,wienerberger.ro;wienerberger.com
651,WISE FINANCE SOLUTIONS,Bogdan Hossu,wise-finance-solutions.com
657,A6 IMPEX SA,Coman Dumitru,a6impex.ro
667,AGRILEX W & D SRL,Wekerle Dan Alexandru,agrilex.com;agrilex.net
668,AGRO COSM FAN SRL,Moldovan Cosmin Stefan,agrocosmfan.ro
673,ASENA SRL,Tarta Silviu,asena.com;asena.eu
